date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-07-10,BID,38.08,38.27,37.63,37.83,7739790,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12512 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-10 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12512-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1328261.htm,,,1328261.0,16.0
2025-07-11,BID,37.83,38.22,37.73,37.88,8722310,,,,,,,,
2025-07-14,BID,38.08,38.92,37.88,38.22,8317344,,,,,,,,
2025-07-15,BID,38.18,38.32,37.68,37.68,5794593,,,,,,,,
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12519 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12519-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329385.htm,,,1329385.0,35.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12518 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12518-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329386.htm,,,1329386.0,35.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12520 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12520-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329387.htm,,,1329387.0,35.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12515 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12515-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329388.htm,,,1329388.0,36.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12514 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12514-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329389.htm,,,1329389.0,36.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12516 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12516-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329392.htm,,,1329392.0,36.0
2025-07-16,BID,37.48,37.98,37.43,37.98,7126531,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12517 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-16 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12517-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1329394.htm,,,1329394.0,36.0
